collected_at,stars,forks,watchers,open_issues,release_downloads,clone_window_count,clone_window_uniques,view_window_count,view_window_uniques
2026-07-21T17:31:09Z,0,0,0,1,0,633,30,67,1
2026-07-24T09:13:10Z,0,0,0,0,0,1074,104,221,3
2026-07-27T04:02:37Z,0,0,0,8,0,1172,108,222,4
2026-07-29T03:40:51Z,0,0,0,8,0,1185,116,223,4
2026-07-31T03:50:38Z,1,0,0,8,0,1195,122,267,6
2026-08-02T03:53:28Z,1,0,0,9,0,1169,125,256,6
2026-08-04T03:37:22Z,1,0,0,9,0,977,126,254,6
2026-08-06T03:37:52Z,1,0,0,10,0,254,41,63,5
2026-08-09T02:28:57Z,1,0,0,10,0,114,33,45,3
2026-08-11T02:28:05Z,1,0,0,11,0,122,28,45,3
